compoundid,Aspartate 132/88,Aspartate 133/88,Aspartate 133/89,Aspartate 134/89,Aspartate 134/90,Glutamate 146.1/102.1,Glutamate 147.1/102.1,Glutamate 147.1/103.1,Glutamate 148.1/103.1,Glutamate 148.1/104.1,Glutamate 149.1/104.1,Glutamate 149.1/105.1,Glutamine 145/127,Glutamine 146/128,Glutamine 147/129,Glutamine 148/130,Taurine 124/80,Taurine 126/82,Taurine 128/80,Citrate 191.1/111.1,Citrate 192.1/111.1,Citrate 192.1/112.1,Citrate 193.1/112.1,Citrate 193.1/113.1,Citrate 194.1/113.1,Citrate 194.1/114.1
biosample-(gxtogx)_4g__g2.5q2_r1 (4) | sample number=137,0.9964065470157618,0.0009281336238507727,0.002524587246071859,0.00014073211431538395,0.0,0.9971825747821552,0.0007259443303793098,0.001646625913502448,0.00010007872086195841,7.056183062347323e-06,8.991529102334279e-05,0.00024780477901541073,0.9997556982021133,0.0,0.0,0.00024430179788669204,1.0,1.0,,0.9966339542994438,0.0002172918499594584,0.002501204299872862,0.0,0.0,0.00015876712899733889,0.0004887824217265462
biosample-(gxtogx)_4g__g2.5q2_r2 (2) | sample number=141,0.9969721618740768,0.0007231593225097111,0.0020871195144813713,8.218054763016119e-05,0.00013537874130185236,0.999377799216309,0.0,0.00030489307406762154,0.0,0.0,6.779371503591997e-05,0.00024951399458736216,0.9922665192724475,0.007314086497675136,0.0,0.00041939422987746506,1.0,1.0,,0.9980292316469279,0.00036415506049246847,0.0010676902885316166,5.8883076306848805e-05,0.0,0.00017943757476629333,0.00030060235297482013
biosample-(gxtogx)_4g__g2.5q2_r3 (2) | sample number=145,0.9958225348658104,0.0012363984100174602,0.00281033109240278,0.00010485283710483446,2.588279466453722e-05,0.9996001786576211,0.0,0.0,3.3250599271139834e-05,0.0,5.9309849217686315e-05,0.00030726089389008306,0.991074297424435,0.008561307723242352,0.0,0.00036439485232263476,1.0,1.0,,0.9980609859914747,0.0005411304732707236,0.0008076567873626868,0.0,0.0,4.8827574120813816e-05,0.000541399173770808
biosample-(gxtogx)_4g__g2.5q2_r4 (2) | sample number=149,0.9980254926930568,0.0010013927126633114,0.000870938254985426,0.00010217633929444756,0.0,0.9991749970766971,0.0,0.00046927744841518697,1.8345656540494664e-05,0.0,5.7095046181848704e-05,0.00028028477216543907,0.9968989057960141,0.002804969767333272,0.0,0.00029612443665264057,1.0,1.0,,0.9975208895807527,0.0002968108332744327,0.0017671721359591012,0.0,9.51248338689198e-06,0.00015663049340568534,0.00024898447322118576
biosample-(gxtogx)_4g__g5q2_r1 (3) | sample number=138,0.9845931266838434,0.00510073140697457,0.009737444299605495,0.0002975621901742423,0.00027113541940226166,0.9964289397683118,0.0005966133715646071,0.0023897079440881254,8.012309835275298e-05,0.00022717300058725675,8.62047362441087e-05,0.00019123808085122007,0.989245822615248,0.010381400428378734,0.0,0.00037277695637344426,1.0,1.0,,0.9855651626718048,0.0017768390448327958,0.011998769028404637,0.00025961077839693417,0.0,0.00010148538843038907,0.0002981330881303953
biosample-(gxtogx)_4g__g5q2_r2 (2) | sample number=142,0.9851812044376633,0.00528337114654788,0.008972860986585576,0.0003410914184123486,0.00022147201079077993,0.9974845688725776,0.0,0.002179561963657639,6.155885624988084e-05,0.0,3.968971606956533e-05,0.00023462059144519897,0.9992273007207083,0.0004913910059022927,0.0,0.0002813082733893359,1.0,1.0,,0.9851505373104118,0.001960293831507917,0.011779797161260838,0.00012904942199192426,0.00044169751863467265,0.00011717802059922557,0.00042144673559353066
biosample-(gxtogx)_4g__g5q2_r3 (2) | sample number=146,0.9867868914770549,0.004640365288993969,0.008249937126326415,0.00032280610762475055,0.0,0.9980020710263436,0.0006372607287639818,0.0007808985447654792,0.0002018130511362898,2.7621655798514914e-05,7.137589442348923e-05,0.00027895909876845474,0.9946374081422793,0.0050578652469668375,0.0,0.00030472661075402056,1.0,1.0,,0.9833041272478412,0.0019231285355714618,0.013717585603837101,0.00042074637507099444,0.0,0.0001783244423668735,0.00045608779531226796
biosample-(gxtogx)_4g__g5q2_r4 (2) | sample number=150,0.9862398536973843,0.0037471144351255785,0.009571946243591941,0.00036533202360581853,7.575360029228995e-05,0.9944446890941904,0.00045776550101131973,0.004478767872095592,8.816189962921982e-05,0.0002580348356933472,4.3434314983328765e-05,0.00022914648239685294,0.9971498589822908,0.0025226982720162145,0.0,0.0003274427456929755,1.0,1.0,,0.9810388458885937,0.003029674475611154,0.014809545899409917,0.0002721194818092949,0.0001775479258559672,0.00011265902010515969,0.0005596073086146555
biosample-(gxtogx)_4g__g7q2_r1 (2) | sample number=139,0.9541408698897359,0.017019786696312853,0.027019274613637557,0.0011783926192073003,0.0006416761811064017,0.990489073145577,0.0007958702339135092,0.008110555540929574,0.00013692456084399388,0.00020607006919550586,3.700963626274211e-05,0.00022449681327770218,0.9997671407167386,0.0,0.0,0.00023285928326149014,1.0,1.0,,0.9543121844528349,0.0074526465007462035,0.03550885023359775,0.0009802611266582812,0.0008468826637308049,0.000159635588821785,0.000739539433610409
biosample-(gxtogx)_4g__g7q2_r2 (2) | sample number=143,0.9561017662377327,0.016129723163481192,0.02587126172666044,0.001063328630065449,0.0008339202420603772,0.9892581530419714,0.0008696932280597139,0.009049058756482412,0.00019171270539334082,0.0002861279951837057,6.438438837742897e-05,0.00028086988453192416,0.9997333628250178,0.0,0.0,0.00026663717498220604,1.0,1.0,,0.9522711024777267,0.00725046521988281,0.037781009355178814,0.001101275078004024,0.0008841625903453406,0.00016802032001409693,0.0005439649588483169
