Original.Sample.Name,Sample.Name,GroupLevel1,GroupLevel2,GroupLevel3,Replicate,Biol.Rep,Sample.Number,Concentration,DilutionFactor,DilutionReference,Tracer
Biosample-(GxtoGx)_4G__G2.5Q2_R1 (2) | Sample Number=16,(GxtoGx)_4G__G2.5Q2_R1,G2.5Q2,,,1,1,16,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G2.5Q2_R2 | Sample Number=20,(GxtoGx)_4G__G2.5Q2_R2,G2.5Q2,,,1,2,20,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G2.5Q2_R3 | Sample Number=24,(GxtoGx)_4G__G2.5Q2_R3,G2.5Q2,,,1,3,24,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G2.5Q2_R4 | Sample Number=28,(GxtoGx)_4G__G2.5Q2_R4,G2.5Q2,,,1,4,28,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R1 | Sample Number=17,(GxtoGx)_4G__G5Q2_R1,G5Q2,,,1,1,17,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R2 | Sample Number=21,(GxtoGx)_4G__G5Q2_R2,G5Q2,,,1,2,21,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R3 | Sample Number=25,(GxtoGx)_4G__G5Q2_R3,G5Q2,,,1,3,25,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G5Q2_R4 | Sample Number=29,(GxtoGx)_4G__G5Q2_R4,G5Q2,,,1,4,29,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G7Q2_R1 | Sample Number=18,(GxtoGx)_4G__G7Q2_R1,G7Q2,,,1,1,18,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G7Q2_R2 | Sample Number=22,(GxtoGx)_4G__G7Q2_R2,G7Q2,,,1,2,22,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G7Q2_R3 | Sample Number=26,(GxtoGx)_4G__G7Q2_R3,G7Q2,,,1,3,26,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G7Q2_R4 | Sample Number=30,(GxtoGx)_4G__G7Q2_R4,G7Q2,,,1,4,30,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R1 | Sample Number=19,(GxtoGx)_4G__G9Q2_R1,G9Q2,,,1,1,19,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R2 | Sample Number=23,(GxtoGx)_4G__G9Q2_R2,G9Q2,,,1,2,23,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R3 | Sample Number=27,(GxtoGx)_4G__G9Q2_R3,G9Q2,,,1,3,27,0,1,,13C-Glc
Biosample-(GxtoGx)_4G__G9Q2_R4 | Sample Number=31,(GxtoGx)_4G__G9Q2_R4,G9Q2,,,1,4,31,0,1,,13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R1 | Sample Number=32,(GxtoGx)_5G__G2.5Q2_R1,G2.5Q2,,,1,1,32,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R2 | Sample Number=36,(GxtoGx)_5G__G2.5Q2_R2,G2.5Q2,,,1,2,36,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R3 | Sample Number=40,(GxtoGx)_5G__G2.5Q2_R3,G2.5Q2,,,1,3,40,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G2.5Q2_R4 | Sample Number=44,(GxtoGx)_5G__G2.5Q2_R4,G2.5Q2,,,1,4,44,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R1 | Sample Number=33,(GxtoGx)_5G__G5Q2_R1,G5Q2,,,1,1,33,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R2 | Sample Number=37,(GxtoGx)_5G__G5Q2_R2,G5Q2,,,1,2,37,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R3 | Sample Number=41,(GxtoGx)_5G__G5Q2_R3,G5Q2,,,1,3,41,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G5Q2_R4 | Sample Number=45,(GxtoGx)_5G__G5Q2_R4,G5Q2,,,1,4,45,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R1 | Sample Number=34,(GxtoGx)_5G__G7Q2_R1,G7Q2,,,1,1,34,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R2 | Sample Number=38,(GxtoGx)_5G__G7Q2_R2,G7Q2,,,1,2,38,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R3 | Sample Number=42,(GxtoGx)_5G__G7Q2_R3,G7Q2,,,1,3,42,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G7Q2_R4 | Sample Number=46,(GxtoGx)_5G__G7Q2_R4,G7Q2,,,1,4,46,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R1 | Sample Number=35,(GxtoGx)_5G__G9Q2_R1,G9Q2,,,1,1,35,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R2 | Sample Number=39,(GxtoGx)_5G__G9Q2_R2,G9Q2,,,1,2,39,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R3 | Sample Number=43,(GxtoGx)_5G__G9Q2_R3,G9Q2,,,1,3,43,0,1,,5-13C-Glc
Biosample-(GxtoGx)_5G__G9Q2_R4 | Sample Number=47,(GxtoGx)_5G__G9Q2_R4,G9Q2,,,1,4,47,0,1,,5-13C-Glc
Biosample-(GxtoGx)_12Q__G2.5Q2_R1 | Sample Number=48,(GxtoGx)_12Q__G2.5Q2_R1,G2.5Q2,,,1,1,48,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G2.5Q2_R2 | Sample Number=52,(GxtoGx)_12Q__G2.5Q2_R2,G2.5Q2,,,1,2,52,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G2.5Q2_R3 | Sample Number=56,(GxtoGx)_12Q__G2.5Q2_R3,G2.5Q2,,,1,3,56,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G2.5Q2_R4 | Sample Number=60,(GxtoGx)_12Q__G2.5Q2_R4,G2.5Q2,,,1,4,60,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R1 | Sample Number=49,(GxtoGx)_12Q__G5Q2_R1,G5Q2,,,1,1,49,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R2 | Sample Number=53,(GxtoGx)_12Q__G5Q2_R2,G5Q2,,,1,2,53,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R3 | Sample Number=57,(GxtoGx)_12Q__G5Q2_R3,G5Q2,,,1,3,57,0,1,,13CGln
Biosample-(GxtoGx)_12Q__G5Q2_R4 | Sample Number=61,(GxtoGx)_12Q__G5Q2_R4,G5Q2,,,1,4,61,0,1,,13CGln
